repo name,repo size, repo clone url
FasterXML/jackson-databind,64287,https://github.com/FasterXML/jackson-databind.git
FasterXML/jackson-core,14166,https://github.com/FasterXML/jackson-core.git
eugenp/tutorials,211749,https://github.com/eugenp/tutorials.git
joelittlejohn/jsonschema2pojo,9650,https://github.com/joelittlejohn/jsonschema2pojo.git
FasterXML/jackson-annotations,2287,https://github.com/FasterXML/jackson-annotations.git
bluelinelabs/LoganSquare,1017,https://github.com/bluelinelabs/LoganSquare.git
redisson/redisson,12541,https://github.com/redisson/redisson.git
dropwizard/dropwizard,97025,https://github.com/dropwizard/dropwizard.git
FasterXML/jackson-datatype-hibernate,1170,https://github.com/FasterXML/jackson-datatype-hibernate.git
aws/aws-sdk-java,1295186,https://github.com/aws/aws-sdk-java.git
JavaOPs/topjava,64,https://github.com/JavaOPs/topjava.git
codehaus/jackson,39306,https://github.com/codehaus/jackson.git
FasterXML/jackson-module-jsonSchema,1674,https://github.com/FasterXML/jackson-module-jsonSchema.git
msgpack/msgpack-java,3293,https://github.com/msgpack/msgpack-java.git
michel-kraemer/bson4jackson,666,https://github.com/michel-kraemer/bson4jackson.git
java-json-tools/json-patch,534,https://github.com/java-json-tools/json-patch.git
FasterXML/jackson-modules-java8,763,https://github.com/FasterXML/jackson-modules-java8.git
FasterXML/jackson-datatype-joda,1456,https://github.com/FasterXML/jackson-datatype-joda.git
FasterXML/jackson-dataformat-xml,3201,https://github.com/FasterXML/jackson-dataformat-xml.git
FasterXML/jackson-dataformats-text,2393,https://github.com/FasterXML/jackson-dataformats-text.git
FasterXML/jackson-dataformats-binary,3991,https://github.com/FasterXML/jackson-dataformats-binary.git
Tencent/MSEC,40162,https://github.com/Tencent/MSEC.git
FasterXML/jackson-jaxrs-providers,1816,https://github.com/FasterXML/jackson-jaxrs-providers.git
opendatalab-de/geojson-jackson,92,https://github.com/opendatalab-de/geojson-jackson.git
se-edu/addressbook-level4,24483,https://github.com/se-edu/addressbook-level4.git
nmorel/gwt-jackson,2214,https://github.com/nmorel/gwt-jackson.git
mongojack/mongojack,4548,https://github.com/mongojack/mongojack.git
immutables/immutables,10164,https://github.com/immutables/immutables.git
bguerout/jongo,2883,https://github.com/bguerout/jongo.git
docusign/docusign-java-client,44123,https://github.com/docusign/docusign-java-client.git
fabienrenaud/java-json-benchmark,369,https://github.com/fabienrenaud/java-json-benchmark.git
jwtk/jjwt,908,https://github.com/jwtk/jjwt.git
ralscha/extdirectspring,6651,https://github.com/ralscha/extdirectspring.git
bedatadriven/jackson-datatype-jts,58,https://github.com/bedatadriven/jackson-datatype-jts.git
kongchen/swagger-maven-plugin,2151,https://github.com/kongchen/swagger-maven-plugin.git
googleapis/google-http-java-client,9369,https://github.com/googleapis/google-http-java-client.git
spring-projects/spring-android,4220,https://github.com/spring-projects/spring-android.git
FasterXML/jackson-jr,2587,https://github.com/FasterXML/jackson-jr.git
facebookarchive/swift,5806,https://github.com/facebookarchive/swift.git
helun/Ektorp,1822,https://github.com/helun/Ektorp.git
vladmihalcea/hibernate-types,420,https://github.com/vladmihalcea/hibernate-types.git
FasterXML/jackson-datatypes-collections,768,https://github.com/FasterXML/jackson-datatypes-collections.git
guyboertje/jrjackson,63126,https://github.com/guyboertje/jrjackson.git
zalando/problem,1118,https://github.com/zalando/problem.git
alexanderjarvis/play-jongo,122,https://github.com/alexanderjarvis/play-jongo.git
HubSpot/jackson-datatype-protobuf,423,https://github.com/HubSpot/jackson-datatype-protobuf.git
resthub/resthub-spring-stack,12892,https://github.com/resthub/resthub-spring-stack.git
eiiches/jackson-jq,534,https://github.com/eiiches/jackson-jq.git
QuantumBadger/RedReader,4771,https://github.com/QuantumBadger/RedReader.git
