repo name,repo size, repo clone url
google/guava,245914,https://github.com/google/guava.git
checkstyle/checkstyle,63634,https://github.com/checkstyle/checkstyle.git
ben-manes/caffeine,17570,https://github.com/ben-manes/caffeine.git
eugenp/tutorials,210581,https://github.com/eugenp/tutorials.git
seaswalker/spring-analysis,4871,https://github.com/seaswalker/spring-analysis.git
square/otto,703,https://github.com/square/otto.git
google/truth,27146,https://github.com/google/truth.git
magro/kryo-serializers,1029,https://github.com/magro/kryo-serializers.git
rholder/guava-retrying,612,https://github.com/rholder/guava-retrying.git
joel-costigliola/assertj-core,26898,https://github.com/joel-costigliola/assertj-core.git
qiurunze123/threadandjuc,1150,https://github.com/qiurunze123/threadandjuc.git
bz51/SpringBoot-Dubbo-Docker-Jenkins,442,https://github.com/bz51/SpringBoot-Dubbo-Docker-Jenkins.git
square/haha,14318,https://github.com/square/haha.git
google/android-classyshark,24845,https://github.com/google/android-classyshark.git
android10/arrow,154,https://github.com/android10/arrow.git
TNG/ArchUnit,7908,https://github.com/TNG/ArchUnit.git
crossoverJie/JCSprout,1057,https://github.com/crossoverJie/JCSprout.git
lukas-krecan/future-converter,448,https://github.com/lukas-krecan/future-converter.git
hollischuang/toBeTopJavaer,6758,https://github.com/hollischuang/toBeTopJavaer.git
ihaolin/wechat,2217,https://github.com/ihaolin/wechat.git
zheng-zy/spring-boot-redis-guava-caffeine-cache,50,https://github.com/zheng-zy/spring-boot-redis-guava-caffeine-cache.git
sandsmark/QuasselDroid,13083,https://github.com/sandsmark/QuasselDroid.git
NOVA-Team/NOVA-Core,4627,https://github.com/NOVA-Team/NOVA-Core.git
ttdevs/android,4501,https://github.com/ttdevs/android.git
FasterXML/jackson-datatypes-collections,768,https://github.com/FasterXML/jackson-datatypes-collections.git
joel-costigliola/assertj-guava,341,https://github.com/joel-costigliola/assertj-guava.git
google/guava-beta-checker,29,https://github.com/google/guava-beta-checker.git
leveluplunch/levelup-java-examples,879,https://github.com/leveluplunch/levelup-java-examples.git
renyuneyun/Easer,5493,https://github.com/renyuneyun/Easer.git
codebutler/farebot,17020,https://github.com/codebutler/farebot.git
jamesmorgan/ReloadablePropertiesAnnotation,62,https://github.com/jamesmorgan/ReloadablePropertiesAnnotation.git
justinsb/jetcd,355,https://github.com/justinsb/jetcd.git
twosigma/beakerx,119375,https://github.com/twosigma/beakerx.git
immutables/immutables,9727,https://github.com/immutables/immutables.git
xkcoding/spring-boot-demo,9182,https://github.com/xkcoding/spring-boot-demo.git
apache/incubator-zipkin-brave,7082,https://github.com/apache/incubator-zipkin-brave.git
mtotschnig/MyExpenses,156608,https://github.com/mtotschnig/MyExpenses.git
google/closure-compiler,150946,https://github.com/google/closure-compiler.git
kiwix/kiwix-android,152047,https://github.com/kiwix/kiwix-android.git
wyh-spring-ecosystem-student/spring-boot-student,802,https://github.com/wyh-spring-ecosystem-student/spring-boot-student.git
fengyouchao/sockslib,641,https://github.com/fengyouchao/sockslib.git
yegor256/cactoos,2932,https://github.com/yegor256/cactoos.git
adib2149/FormMaster,1010,https://github.com/adib2149/FormMaster.git
ConsenSys/cava,4613,https://github.com/ConsenSys/cava.git
feenkcom/jdt2famix,2005,https://github.com/feenkcom/jdt2famix.git
gaul/modernizer-maven-plugin,194,https://github.com/gaul/modernizer-maven-plugin.git
alibaba/Sentinel,3866,https://github.com/alibaba/Sentinel.git
kingston-csj/jforgame,767,https://github.com/kingston-csj/jforgame.git
whirlys/Elastic-In-Practice,2075,https://github.com/whirlys/Elastic-In-Practice.git
lihengming/spring-boot-api-project-seed,77,https://github.com/lihengming/spring-boot-api-project-seed.git
zalando-stups/booties,330,https://github.com/zalando-stups/booties.git
nytimes/Store,2541,https://github.com/nytimes/Store.git
hansonwang99/Spring-Boot-In-Action,504,https://github.com/hansonwang99/Spring-Boot-In-Action.git
fuyunwang/ChengFeng1.5,421,https://github.com/fuyunwang/ChengFeng1.5.git
xuminwlt/j360-dubbo-app-all,637,https://github.com/xuminwlt/j360-dubbo-app-all.git
googleapis/cloud-bigtable-client,11967,https://github.com/googleapis/cloud-bigtable-client.git
joel-costigliola/assertj-examples,6787,https://github.com/joel-costigliola/assertj-examples.git
OpenHFT/Zero-Allocation-Hashing,346,https://github.com/OpenHFT/Zero-Allocation-Hashing.git
pospospos2007/albert,114471,https://github.com/pospospos2007/albert.git
vbauer/jackdaw,340,https://github.com/vbauer/jackdaw.git
siom79/japicmp,3020,https://github.com/siom79/japicmp.git
BNYMellon/CodeKatas,578,https://github.com/BNYMellon/CodeKatas.git
aol/cyclops-integration,5968,https://github.com/aol/cyclops-integration.git
yandex/yoctodb,853,https://github.com/yandex/yoctodb.git
StubbornJava/StubbornJava,854,https://github.com/StubbornJava/StubbornJava.git
google/MOE,12001,https://github.com/google/MOE.git
Lovnx/micro-service,72,https://github.com/Lovnx/micro-service.git
dokan-dev/dokan-java,18103,https://github.com/dokan-dev/dokan-java.git
mixer/beam-client-java,774,https://github.com/mixer/beam-client-java.git
shevek/jarjar,1818,https://github.com/shevek/jarjar.git
surespot/android,36743,https://github.com/surespot/android.git
yongjhih/android-proguards,2692,https://github.com/yongjhih/android-proguards.git
fengzhizi715/RxCache,695,https://github.com/fengzhizi715/RxCache.git
sangupta/bloomfilter,75,https://github.com/sangupta/bloomfilter.git
nasa/DERT,422854,https://github.com/nasa/DERT.git
hibernate/hibernate-demos,12474,https://github.com/hibernate/hibernate-demos.git
spotify/async-datastore-client,118,https://github.com/spotify/async-datastore-client.git
hackerlc/GearApplication,10204,https://github.com/hackerlc/GearApplication.git
JavaOPs/masterjava,25,https://github.com/JavaOPs/masterjava.git
zxiaofan/OpenSource_Study,50325,https://github.com/zxiaofan/OpenSource_Study.git
Xlinlin/SpringCloud-Demo,65251,https://github.com/Xlinlin/SpringCloud-Demo.git
google/flogger,363,https://github.com/google/flogger.git
geguofeng/ssm,781,https://github.com/geguofeng/ssm.git
KrailOrg/krail,15152,https://github.com/KrailOrg/krail.git
tgvaughan/MultiTypeTree,21034,https://github.com/tgvaughan/MultiTypeTree.git
AsyncHttpClient/async-http-client,17919,https://github.com/AsyncHttpClient/async-http-client.git
joschi/JadConfig,3182,https://github.com/joschi/JadConfig.git
cdapio/netty-http,374,https://github.com/cdapio/netty-http.git
XiaoMi/galaxy-fds-sdk-android,65,https://github.com/XiaoMi/galaxy-fds-sdk-android.git
inferred/FreeBuilder,4427,https://github.com/inferred/FreeBuilder.git
jandy-team/jandy,5059,https://github.com/jandy-team/jandy.git
diaozxin007/HumpApi,103,https://github.com/diaozxin007/HumpApi.git
rhwayfun/spring-boot-learning-examples,345,https://github.com/rhwayfun/spring-boot-learning-examples.git
beworker/tinybus,2309,https://github.com/beworker/tinybus.git
unicode-org/cldr,214046,https://github.com/unicode-org/cldr.git
hrldcpr/pcollections,2415,https://github.com/hrldcpr/pcollections.git
encryptedsystems/Clusion,243,https://github.com/encryptedsystems/Clusion.git
bpatters/schemagen-graphql,339,https://github.com/bpatters/schemagen-graphql.git
davidmoten/rtree,1648,https://github.com/davidmoten/rtree.git
tgvaughan/MASTER,47352,https://github.com/tgvaughan/MASTER.git
acebaggins/gson-serializers,42,https://github.com/acebaggins/gson-serializers.git
maximeAudrain/jenerate,709,https://github.com/maximeAudrain/jenerate.git
EliFUT/android,20969,https://github.com/EliFUT/android.git
Wikia/dropwizard-logstash-encoder,26,https://github.com/Wikia/dropwizard-logstash-encoder.git
LiuKay/mmall-kay-Java,3511,https://github.com/LiuKay/mmall-kay-Java.git
jberet/jsr352,75596,https://github.com/jberet/jsr352.git
lianggzone/springboot-action,87,https://github.com/lianggzone/springboot-action.git
jpmml/jpmml-evaluator-spark,93,https://github.com/jpmml/jpmml-evaluator-spark.git
ZhuBaker/rate-limiter,32,https://github.com/ZhuBaker/rate-limiter.git
bazelbuild/BUILD_file_generator,156,https://github.com/bazelbuild/BUILD_file_generator.git
google/j2cl,34469,https://github.com/google/j2cl.git
analysys/EasyScheduler,61597,https://github.com/analysys/EasyScheduler.git
xiancloud/xian,4170,https://github.com/xiancloud/xian.git
thyrlian/AwesomeValidation,1452,https://github.com/thyrlian/AwesomeValidation.git
