repo name,repo size, repo clone url
hibernate/hibernate-orm,165882,https://github.com/hibernate/hibernate-orm.git
dropwizard/dropwizard,95835,https://github.com/dropwizard/dropwizard.git
hibernate/hibernate-validator,28854,https://github.com/hibernate/hibernate-validator.git
macrozheng/mall,50388,https://github.com/macrozheng/mall.git
hollischuang/toBeTopJavaer,6758,https://github.com/hollischuang/toBeTopJavaer.git
kolorobot/spring-mvc-quickstart-archetype,1178,https://github.com/kolorobot/spring-mvc-quickstart-archetype.git
debop/hibernate-redis,1689,https://github.com/debop/hibernate-redis.git
hibernate/hibernate-search,65319,https://github.com/hibernate/hibernate-search.git
hibernate/hibernate-ogm,17380,https://github.com/hibernate/hibernate-ogm.git
vladmihalcea/hibernate-types,390,https://github.com/vladmihalcea/hibernate-types.git
liquibase/liquibase-hibernate,487,https://github.com/liquibase/liquibase-hibernate.git
hibernate/hibernate-demos,12474,https://github.com/hibernate/hibernate-demos.git
keedio/flume-ng-sql-source,172,https://github.com/keedio/flume-ng-sql-source.git
FasterXML/jackson-datatype-hibernate,1162,https://github.com/FasterXML/jackson-datatype-hibernate.git
philipsorst/angular-rest-springsecurity,908,https://github.com/philipsorst/angular-rest-springsecurity.git
wosyingjun/beauty_ssm,74,https://github.com/wosyingjun/beauty_ssm.git
JavaOPs/topjava,63,https://github.com/JavaOPs/topjava.git
callicoder/jpa-hibernate-tutorials,120,https://github.com/callicoder/jpa-hibernate-tutorials.git
Raysmond/SpringBlog,12537,https://github.com/Raysmond/SpringBlog.git
in28minutes/jpa-with-hibernate,455,https://github.com/in28minutes/jpa-with-hibernate.git
zhangkaitao/es,8753,https://github.com/zhangkaitao/es.git
quarkusio/quarkus-quickstarts,686,https://github.com/quarkusio/quarkus-quickstarts.git
x-stream/xstream,20722,https://github.com/x-stream/xstream.git
hazelcast/hazelcast,147532,https://github.com/hazelcast/hazelcast.git
callicoder/spring-boot-mysql-rest-api-tutorial,58,https://github.com/callicoder/spring-boot-mysql-rest-api-tutorial.git
rybalkinsd/atom,62673,https://github.com/rybalkinsd/atom.git
ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework,434,https://github.com/ykameshrao/spring-hibernate-springdata-springmvc-maven-project-framework.git
ushelp/EasyEE,127085,https://github.com/ushelp/EasyEE.git
vladmihalcea/hibernate-master-class,1963,https://github.com/vladmihalcea/hibernate-master-class.git
vladmihalcea/vladmihalcea.wordpress.com,396,https://github.com/vladmihalcea/vladmihalcea.wordpress.com.git
callicoder/spring-boot-postgresql-jpa-hibernate-rest-api-demo,54,https://github.com/callicoder/spring-boot-postgresql-jpa-hibernate-rest-api-demo.git
quarkusio/quarkus,20711,https://github.com/quarkusio/quarkus.git
Credo-Zhao/init-spring,194,https://github.com/Credo-Zhao/init-spring.git
hibernate/hibernate-shards,13700,https://github.com/hibernate/hibernate-shards.git
chenhaoxiang/Java,182634,https://github.com/chenhaoxiang/Java.git
RameshMF/spring-boot-tutorial,1784,https://github.com/RameshMF/spring-boot-tutorial.git
caelum/caelum-stella,15314,https://github.com/caelum/caelum-stella.git
zhangdaiscott/MiniDao,22843,https://github.com/zhangdaiscott/MiniDao.git
JodaOrg/joda-time-hibernate,217,https://github.com/JodaOrg/joda-time-hibernate.git
heroku/template-java-spring-hibernate,40,https://github.com/heroku/template-java-spring-hibernate.git
xpinjection/hibernate-performance,53,https://github.com/xpinjection/hibernate-performance.git
wildfly/quickstart,34803,https://github.com/wildfly/quickstart.git
hohoTT/Logistics_Manage_System,51171,https://github.com/hohoTT/Logistics_Manage_System.git
HotswapProjects/HotswapAgent,3323,https://github.com/HotswapProjects/HotswapAgent.git
hibernate/hibernate-test-case-templates,68,https://github.com/hibernate/hibernate-test-case-templates.git
hibernate/hibernate-commons-annotations,2024,https://github.com/hibernate/hibernate-commons-annotations.git
gwenn/sqlite-dialect,31,https://github.com/gwenn/sqlite-dialect.git
