repo name,repo size, repo clone url
apache/kafka,83151,https://github.com/apache/kafka.git
logstash/log4j-jsonevent-layout,591,https://github.com/logstash/log4j-jsonevent-layout.git
t0xa/gelfj,278,https://github.com/t0xa/gelfj.git
Netflix/blitz4j,1247,https://github.com/Netflix/blitz4j.git
monitorjbl/excel-streaming-reader,22681,https://github.com/monitorjbl/excel-streaming-reader.git
chenhaoxiang/Java,182634,https://github.com/chenhaoxiang/Java.git
yandex-qatools/postgresql-embedded,309,https://github.com/yandex-qatools/postgresql-embedded.git
aws/aws-lambda-java-libs,102,https://github.com/aws/aws-lambda-java-libs.git
linkedin/ambry,15525,https://github.com/linkedin/ambry.git
pstehlik/gelf4j,5283,https://github.com/pstehlik/gelf4j.git
mp911de/logstash-gelf,1353,https://github.com/mp911de/logstash-gelf.git
EspressifApp/IOT-Espressif-Android,9691,https://github.com/EspressifApp/IOT-Espressif-Android.git
VKCOM/vk-java-sdk,2041,https://github.com/VKCOM/vk-java-sdk.git
otros-systems/otroslogviewer,8314,https://github.com/otros-systems/otroslogviewer.git
amazon-archives/kinesis-log4j-appender,32,https://github.com/amazon-archives/kinesis-log4j-appender.git
getsentry/sentry-java,6078,https://github.com/getsentry/sentry-java.git
Tencent/MSEC,40162,https://github.com/Tencent/MSEC.git
xwjie/PLMCodeTemplate,4226,https://github.com/xwjie/PLMCodeTemplate.git
arimus/jmimemagic,246,https://github.com/arimus/jmimemagic.git
qos-ch/slf4j,10388,https://github.com/qos-ch/slf4j.git
naveenanimation20/PageObjectModel,4777,https://github.com/naveenanimation20/PageObjectModel.git
flyingsaucerproject/flyingsaucer,61612,https://github.com/flyingsaucerproject/flyingsaucer.git
OpenHFT/Chronicle-Logger,7625,https://github.com/OpenHFT/Chronicle-Logger.git
SergeyPirogov/video-recorder-java,3887,https://github.com/SergeyPirogov/video-recorder-java.git
fengyouchao/sockslib,641,https://github.com/fengyouchao/sockslib.git
hibernate/hibernate-validator,28854,https://github.com/hibernate/hibernate-validator.git
xtuhcy/socks5-netty,4139,https://github.com/xtuhcy/socks5-netty.git
timveil/hive-jdbc-uber-jar,3904,https://github.com/timveil/hive-jdbc-uber-jar.git
